"Prothetik untere Extremität";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
;;;;;;;;;;;;
"Risikobezug";"Relevant";"Ursache";"Wirkung";"Wahrscheinlichkeit";"Schaden";"Akzeptanzlevel";"Maßnahme";"Wahrscheinlichkeit nach Maßnahme";"Schaden nach Maßnahme";"Akzeptanzlevel danach";"Risiko-Nutzen-Abwägung";"Verbleibende Maßnahmen sofern zutreffend"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung";"ja";"Stumpf nicht mit Stumpfstrumpf geschützt, Volumen nicht korrekt, Stumpfschwankung (Weichteil-/Morphologieveränderung) ohne Volumenabnahme";"Hautschädigung durch Reibung";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Anprobe durch qualifizierte Mitarbeiter, Volumenkontrolle und ggf. Nachpassung auch durch Strümpfe oder Polster";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung";"ja";"Stumpfschwankungen, mangelnde Compliance des Kunden, Stumpfvolumenab- oder zunahme";"Hautschädigung durch unkorrekte Position des Stumpfs im Prothesenschaft";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Ausführliche Einweisung ggf. Hilfsmarkierung an der Prothese. Zustandserhebung /Anamnese";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Verhalten bei Stumpfschwankungen"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung";"ja";"veränderte Statik (z.Bsp. zunehmendes Streckdefizit)";"Rückenprobleme, Unsicherheit in der Standphase, fehlerhafte Schwungphasenauslösung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter, regelmäßige Kontrolle und Versorgungsevaluation";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise, Inspektion / Wartung"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung";"ja";"Volumen oder Paßform nicht korrekt; Compliance des Patienten";"Sturzgefahr durch Funktionsverlust der Prothese durch unkorrekte Position zwischen Stumpf und Prothesenschaft";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, erneute Einweisung des Patienten in die Funktion";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung
5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"unsachgemäße Benutzung durch den Patienten, z.B.  Kontakt der Prothese mit Säuren oder Salzwasser";"Sturzgefahr durch Bruch, Materialermüdung von Prothesenteilen";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Beachtung der Herstellerrichtlinien";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz- und Belastungsgrenzen, Instandhaltung/ Wartung"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.4 unzureichende Prüfung der Spezifikation vor der Anwendung
7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.4 fehlende geeignete Festlegung, wann die Gebrauchsfähigkeit des Medizinprodukts ausläuft";"ja";"Längenwachstum bei Kindern, Kontrollintervall zu groß";"Beckenschiefstand, Folgeschäden";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter, regelmäßige Kontrolle und Versorgungsevaluation";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise, Inspektion / Wartung"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.6 unzureichender Spezifikationen für Betrieb und Wartung";"ja";"Schienengelenke laufen nicht frei / Funktionsverlust aufgrund fehlender Wartung";"Sturzgefahr durch Hängenbleiben";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe, bei Wartung überprüfen, Patienten auf Instandhaltungsintervalle hinweisen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise, Inspektion / Wartung"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.7 Anwendung durch unausgebildetes/ungeübtes Personal";"ja";"falsche Anziehtechnik";"Einklemmen von Körperteilen, Weichteilschädigung, Vergrößerung des Sturzrisikos";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter; Unterweisung der Patienten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"Absatzhöhe des Schuhs nicht korrekt, falsches Schuhwerk, falsche Einstellung bei höhenverstellbaren Fuß";"Überlastung der kontralaterlalen Seite, Sturzgefahr";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter; Unterweisung der Patienten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"Nutzung von Prothesen mit Schutzcover (Sealprene) in zu feuchtem Milieu";"Defekt/Bruch der Prothese durch Wasserschaden, Korrosion";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Bestimmungsgemäßer Gebrauch; Aushändigung Produkt-GA, Haftungsausschluss"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.8 begründet voraussehbarer Missbrauch";"ja";"Verwendung für nicht zugelassene Anwendung (z.B. Nassbereich, Sport)";"Gefahr von Fehlfunktion, vorzeitigem Verschleiß, Stufzgefahr";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter; Unterweisung der Patienten";"unwahrscheinlich";"besonders hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Bestimmungsgemäßer Gebrauch, Belastungsgrenzen"
"5 Gefährdungen im Zusammenhang mit der Anwendung des Medizinprodukts 5.9 unzureichende Festigkeit der Klemmverbindung";"ja";"Lösen mechanischer Verbindungen";"Verlust der Prothese, Sturzgefahr";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Anwendung technischer Informationen; Festlegung des Herstellungsprozesses durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Belastungsgrenzen"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.1 Fehler und Irrtümer in der Beurteilung";"ja";"falsche Auswahl von Bauteilen/ Konfiguration";"Funktionseinschränkung, Sturzgefahr";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, Beachtung der Herstellerrichtlinien";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.2 Lücken und Irrtümer der kognitiven Erinnerung";"ja";"falsche statische Einstellung durch höhenverstellbarer Fuß ";"Hängenbleiben in der Schwungphase, Unsicherheit in der Standphase";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise, Inspektion / Wartung"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.2 Lücken und Irrtümer der kognitiven Erinnerung";"ja";"falsches Anziehen des Liners";"Spannungsblasen/ Hautschädigung";"sehr wahrscheinlich";"mittel";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.2 Lücken und Irrtümer der kognitiven Erinnerung";"ja";"Liner hat Risse durch falsche Lagerung";"Hautschädigung";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.2 Lücken und Irrtümer der kognitiven Erinnerung";"ja";"Strumpf klemmt im Pinkanal";"Prothese lässt sich nicht mehr ausziehen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise, Inspektion / Wartung"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.2 Lücken und Irrtümer der kognitiven Erinnerung";"ja";"Ungeschicktes oder unkontrolliertes Ziehen an der Anziehhilfe";"Stumpf wird nicht korrekt in den Schaft eingezogen, Passformprobleme; Handverletzung";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Prothesengebrauchsschulung, Unterweisung der Patienten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktion"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.3 Versehen und Fehler (auf körperlicher oder geistiger Grundlage)";"ja";"Prothese wird nicht korrekt angezogen, Handhabungsfehler; keine korrekte Passform des Prothesenschaftes";"Hautschädigung durch Einklemmen während des Anziehens";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung, Anprobe und Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.3 Versehen und Fehler (auf körperlicher oder geistiger Grundlage)";"ja";"Ventilkörper ist nicht korrekt eingeschraubt oder eingerastet. Ventilkörper, Ventildichtung oder Ventilring sind undicht";"Sturzgefahr durch Lufteinzug und -ausstoß während des Gehens";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Anprobe durch qualifizierte Mitarbeiter; Unterweisung der Patienten";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise, Inspektion / Wartung"
"6 Ungeeignete, unzulängliche oder zu komplizierte Schnittstelle mit dem Anwender 6.5 kompliziertes oder verwirrendes Steuersystem";"ja";"Unsachgemäße Anwendung, Unachtsamkeit";"Sturzgefahr durch falschen Funktionsmodus";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Einsatz- und Belastungsgrenzen, Handhabung / Funktionsweise"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.1 fehlerhafte Datenübertragung";"ja";"Funktionsverlust, Steuerungsfehler";"Sturzgefahr durch unzureichende elektronische Funktionalität";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Anwendung technischer Informationen; Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.2 fehlende oder unzureichende Spezifikationen für die Wartung einschließlich unzureichender Spezifikation für Funktionsprüfung nach der Wartung
7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.3 unzureichende Wartung";"ja";"Materialverschleiß, Überlastung, unsachgemäße Anwendung";"Hautschädigung durch Materialermüdung, Bruch der Prothese, Sturzgefahr durch unzureichende elektronische oder mechanische Funktionalität,";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Unterweisung der Patienten durch qualifizierte Mitarbeiter";"unwahrscheinlich";"besonders hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr und spontaner Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Bestimmungsgemäßer Gebrauch, Einsatz- und Belastungsgrenzen, Inspektion / Wartung"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.3 unzureichende Wartung";"ja";"Abnutzung beweglicher Teile";"Sturzgefahr bei unzureichender Streckung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Herstellerrichtlinien einhalten; Unterweisung der Patienten durch qualifizierte Mitarbeiter; Checklisten für Wartungstätigkeiten";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Bestimmungsgemäßer Gebrauch, Einsatz- und Belastungsgrenzen, Inspektion / Wartung"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.5 Verlust der elektrischen/mechanischen Unversehrtheit";"ja";"Beschädigung durch Knien mit der Prothese, Alterung, normaler Verschleiß";"Einklemmgefährdung durch Einreißen der Kosmetik im Kniebereich";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktionsweise, Inspektion / Wartung"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.5 Verlust der elektrischen/mechanischen Unversehrtheit";"ja";"Fehlerhafte Dokumentation des Körpergewichtes";"Sturzgefahr durch Bruch, Materialermüdung von Prothesenteilen";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Weiter Wiegemaßnahme vor Abgabe der Prothese und Dokumentation in Arbeitskarte";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.5 Verlust der elektrischen/mechanischen Unversehrtheit";"ja";"unzureichende Festigkeit / Überlastung, Alterung";"Sturzgefahr durch Bruch, Materialermüdung von Prothesenteilen; Sturzgefahr durch Ausriss des Eingussankers oder des Schaftadapters";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Berücksichtigung der Herstellerrichtlinien; Verwendung von freigegebenen Komponentenkombinationen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.6 ungeeignete Verpackung (Verunreinigung und/oder Beeinträchtigung des Medizinprodukts)";"ja";"mangelhafte Verpackung, mangelhafte Sicherung während des Transports";"Zerstörung / Beschädigung der Prothese während der Lagerung / Transport";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Ausreichende Verpackung, ausreichende Sicherung während des Transports";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko im Versandfall muss akzeptiert werden, da im Einzelfall ein Versand unumgänglich ist um die Versorgung im Sinne der Compliance sicherstellen zu können.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.7 Wiederverwendung und/oder unrichtige Wiederverwendung";"ja";"mangelnde Reinigung der Prothese";"Hautschädigung, Reizung, Unverträglichkeit, Sensibilisierung, Infektion";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter; Unterweisung der Patienten durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Stumpfbehandlung, Stumpfhygiene, Reinigung / Desinfektion"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Abnutzung beweglicher Teile";"Sturzgefahr, weil Kniegelenk sich aus der Beugung nicht strecken lässt";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe, bei Wartung überprüfen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Alterung der Anziehhilfe, scharfe Kanten am Ausziehloch, falsche Anziehtechnik";"Handverletzung";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Sichtprüfung vor Anprobe; Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Anziehhilfe zerreißt beim Herausziehen";"Handverletzung";"sehr wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Prothesengebrauchsschulung. Regelm. Kontrolle des Verschleiß und der Passform";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Handhabung / Funktion"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Bruch beweglicher Teile des Kniegelenkes";"Sturzgefahr durch Unbeabsichtigtes Einbeugen des Prothesenkniegelenks beim Anziehen der Prothese";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Festlegung der Versorgung durch qualifizierte Mitarbeiter, Beachtung der Herstellerrichtlinien";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Druckabfall im Pneumatikzylinder, Luft im Hydraulikzylinder";"Sturzgefahr, weil Standphasenwiderstand zu gering;Sturzgefahr, weil Schwungphasensteuerung unzureichend, zu große Flexionsbewegung, zu langsame Extensionsbewegung";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Funktionsprüfung vor Abgabe, bei Wartung überprüfen";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung"
"7 Gefährdungen infolge von Funktionsfehlern, falscher Wartung und Alterung 7.8 Funktionsverschlechterung (z. B. zunehmender Verschluss von Flüssigkeits-oder Gasleitungen, oder Veränderungen des Strömungswiderstandes oder der elektrischen Leitfähigkeit) als Ergebnis widerholten Gebrauchs";"ja";"Fremdkörper in der Mechanik";"Sturzgefahr, weil Sperre nicht einrastet, weil Kniegelenk sich aus der Beugung nicht strecken lässt, oder Kniegelenk zur Einleitung der Schwungphase nicht einbeugt";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Wenn nicht schon konstruktiv geschützt, Abdeckung durch feinen Trikot, Neoprenhülle, zusätzliche Gelenkverkleidung";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Adipöse Stumpfverhältnisse mit starkem Weichteilüberhang; mangelhaftes Verschlusskonzept";"Hautschädigung durch Einklemmen im Bereich von Verschlüssen";"wahrscheinlich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung, ggf. Änderung der Verschlusstechnik, Anprobe durch qualifizierte Mitarbeiter, Einarbeitung von Laschen zur  Weichteilführung, Unterweisung der Patienten durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Bodenunebenheiten, Bremswirkung zu gering eingestellt oder Rückverlagerung des Kniedrehpunktes zu gering, statischer Aufbau der Prothese zu labil";"Sturzgefahr durch Unbeabsichtigtes Einknicken im Prothesenkniegelenk nach Fersenkontakt";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Anprobe durch qualifizierte Mitarbeiter; Beachtung der Herstellerrichtlinien; Gehschultraining";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer generellen Sturzgefahr muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Distaler und mittlerer Schaftbereich zu weit, keine Femurspange oder laterale Anlage";"Scheuerstellen am distalen Stumpf im Bereich des Ventils";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Maß- und Abformtechnik, Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Fehlerhafter Aufbau";"Überlastung der kontralateralen Seite, unphysiologische Gangabweichungen";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Berücksichtigung der Herstellerrichtlinien; Anprobe durch qualifizierte Mitarbeiter";"möglich";"mittel";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
