"Orthetik Rumpf";"Risiko";"Gültigkeit am 2025-10-18 19:04:59";;;;;;;;;;
;;;;;;;;;;;;
"Risikobezug";"Relevant";"Ursache";"Wirkung";"Wahrscheinlichkeit";"Schaden";"Akzeptanzlevel";"Maßnahme";"Wahrscheinlichkeit nach Maßnahme";"Schaden nach Maßnahme";"Akzeptanzlevel danach";"Risiko-Nutzen-Abwägung";"Verbleibende Maßnahmen sofern zutreffend"
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Sehr flexible WS";"Überkorrektur";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Ungenügende Leibprofilierung";"Druckstellen, Herausrutschen des Abdomens";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"system. Maß-, Abform- und Modelltechnik; Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Ungleichgewicht der Anlageflächen, Kunde steht nicht im Lot";"Verstärkung der Fehlform, Überkorrektur";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Verdrehen des Korsetts am Kunden durch ungenügende Rotationsstabilität";"Druckstellen/ mangelnde Korrektur";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"system. Maß-, Abform- und Modelltechnik; Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Zu geringe / große Festigkeit der Lasche oder Fehlende Lasche";"Quetschen der Haut";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Systematische Zustandserhebung und Anprobe der Versorgung durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Zu große Materialfestigkeit der Orthese";"Druckstellen";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Qualitätskontrolle durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Zu kurze dorsale Stäbe, Zu starker Zug";"Achselschlaufen: Zug in die Inklination";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"system. Maß-, Abform- und Modelltechnik; Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Zu starker Druck, zu kleine Anlageflächen,";"Druckstellen in der Mobilität";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"system. Maß-, Abform- und Modelltechnik; Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko für spontane Weichteilschädigungen muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.3 Fehlerhafte herstellungsbegleitende Prüfungen";"ja";"Zu wenig Korrekturpotential";"Druckstellen/ mangelnde Korrektur";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Therapiekonzept mit Arzt absprechen";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"Ggf. ungeeignete Materialauswahl";"Passform, Verringerung der Haltbarkeit und Stabilität";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Mitarbeiter Einweisungen";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.4 Fehlerhafte Fertigung";"ja";"zu hohe Verarbeitungstemperaturen";"Bruchgefahr, Verringerung der Haltbarkeit und Stabilität";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Mitarbeiter Einweisungen";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.5 Fehlerhafte Endprüfung";"ja";"Nicht Erkennen von Produktionsmängeln";"Druckstellen/ mangelnde Korrektur/Passform";"möglich";"hoch";"Überschreitet das definierte Akzeptanzniveau";"Anprobe durch qualifizierte Mitarbeiter";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.6 Fehlerhafte Produktfreigabe";"ja";"Mangel bei Endkontrolle übersehen";"Druckstellen/ mangelnde Korrektur/Passform";"möglich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Qualitätskontrolle durch qualifizierte Mitarbeiter, Mitarbeitereinweisung";"unwahrscheinlich";"hoch";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"8 Gefährdungen infolge von Herstellungsfehlern 8.6 Fehlerhafte Produktfreigabe";"ja";"unzureichende Einweisung des Anwenders";"Verlust des medizinischen / therapeutischen Nutzens; Verschlechterung des Zustands der Patienten";"wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Abgabe durch qualifizierte Mitarbeiter";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer insuffizienten Versorgung oder Funktionsreduktion muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";
"dgihv7_2";"ja";"Nichteinhaltung von Kontrollterminen / Wartung";"indikationsbedingte Versorgung evtl. nicht gegeben, Verringerung der Benutzbarkeit";"sehr wahrscheinlich";"besonders hoch";"Überschreitet das definierte Akzeptanzniveau";"Einhaltung der Wartungsintervalle, Prüfprotokolle gemäß QM";"möglich";"niedrig";"Innerhalb des definierten Akzeptanzniveaus";"Das Restrisiko einer Fehlnutzung muss akzeptiert werden, da andernfalls keine Versorgung erfolgen kann.";"Hinweis in GA: Inspektion / Wartung , Wartungsintervalle"
